job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y,id_var
technician,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,40273
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,46578
technician,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,53936
management,unknown,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,74943
entrepreneur,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,51278
admin.,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no,58589
admin.,married,university.degree,no,no,yes,telephone,may,mon,nonexistent,no,50704
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no,45327
technician,single,professional.course,unknown,no,no,telephone,may,mon,nonexistent,no,71166
admin.,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,no,64773
blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,nonexistent,no,45503
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,62250
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,70260
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,42254
housemaid,married,basic.4y,no,no,yes,telephone,may,mon,nonexistent,no,69700
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,71777
admin.,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no,50976
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no,66343
technician,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,no,65914
management,married,university.degree,unknown,no,yes,telephone,may,mon,nonexistent,no,40366
services,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no,45309
unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,nonexistent,no,50685
technician,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,62438
entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no,72365
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,39227
blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,no,41532
blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,no,61787
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,69932
admin.,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,52520
blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,63657
admin.,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no,52863
admin.,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,35958
blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,nonexistent,no,73721
management,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no,47227
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,56866
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no,73736
unknown,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no,64692
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no,62751
blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,yes,70896
technician,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,59187
services,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no,57000
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,59164
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no,52795
blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,nonexistent,no,48345
admin.,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,no,45446
entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,yes,60052
technician,single,university.degree,no,no,yes,telephone,may,mon,nonexistent,no,48795
admin.,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,no,65650
management,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no,59712
technician,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,yes,60033
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,55414
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,73107
unknown,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no,51195
admin.,married,unknown,unknown,no,yes,telephone,may,mon,nonexistent,no,34706
unemployed,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no,37970
blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,nonexistent,no,49469
services,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,no,71856
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,71500
admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no,38472
technician,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no,59572
blue-collar,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no,57580
services,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no,35602
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,no,52810
services,married,unknown,no,no,no,telephone,may,mon,nonexistent,no,34843
admin.,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no,63466
admin.,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no,36943
services,single,high.school,unknown,no,no,telephone,may,mon,nonexistent,no,39276
housemaid,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no,38917
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,60127
entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no,55508
technician,married,unknown,unknown,yes,yes,telephone,may,mon,nonexistent,no,43168
retired,divorced,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no,38397
unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no,60809
services,divorced,high.school,no,yes,no,telephone,may,mon,nonexistent,no,67323
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no,39083
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,38331
blue-collar,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,63059
admin.,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no,51341
blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no,50008
admin.,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no,56040
blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no,70950
blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no,65223
blue-collar,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,no,72144
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,46187
technician,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,57910
admin.,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,no,62432
admin.,married,university.degree,no,no,yes,telephone,may,mon,nonexistent,no,73268
admin.,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no,72303
technician,divorced,professional.course,no,yes,yes,telephone,may,mon,nonexistent,no,48744
retired,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,51676
technician,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,yes,40764
blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,nonexistent,no,46498
technician,married,professional.course,unknown,no,no,telephone,may,mon,nonexistent,no,62414
blue-collar,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no,65072
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no,69240
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,49389
management,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no,43609
housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no,43110
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no,50429
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,74954
unemployed,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,49210
management,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no,63669
management,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,52566
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,41847
unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no,64061
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no,64160
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no,35355
admin.,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no,47503
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no,70502
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,56764
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,59502
entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no,70661
services,divorced,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no,74614
blue-collar,married,unknown,no,yes,yes,telephone,may,mon,nonexistent,no,63663
blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no,52721
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no,68277
technician,single,professional.course,no,yes,no,telephone,may,mon,nonexistent,no,74987
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,67935
management,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,69978
blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,nonexistent,no,69482
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,65283
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,74745
entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no,37262
services,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,no,61716
admin.,divorced,unknown,unknown,no,no,telephone,may,mon,nonexistent,no,61883
blue-collar,married,unknown,no,no,no,telephone,may,mon,nonexistent,no,75153
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,35952
services,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,no,43792
admin.,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no,72318
management,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no,72070
services,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,no,67280
admin.,single,basic.6y,no,no,no,telephone,may,mon,nonexistent,no,58157
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,52447
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no,66481
technician,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,44533
blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,no,44343
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,49560
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no,57746
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,55531
technician,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,no,44325
retired,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,no,50029
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no,68634
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,45165
technician,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no,62278
blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,48614
technician,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,75144
blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no,67108
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,42182
admin.,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no,67297
blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,54005
admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no,38786
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no,63824
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,65733
services,single,basic.6y,no,no,no,telephone,may,mon,nonexistent,no,63438
admin.,married,unknown,no,no,no,telephone,may,mon,nonexistent,no,63603
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,60742
student,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no,39191
student,single,university.degree,unknown,yes,yes,telephone,may,mon,nonexistent,no,67198
unemployed,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no,41683
services,single,basic.4y,no,no,no,telephone,may,mon,nonexistent,no,61440
student,single,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no,67431
housemaid,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no,67625
admin.,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,48434
retired,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no,53587
blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,no,44064
housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no,42269
blue-collar,single,unknown,no,yes,no,telephone,may,mon,nonexistent,no,42888
blue-collar,single,unknown,no,yes,yes,telephone,may,mon,nonexistent,no,47177
housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no,58109
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,74397
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,70769
technician,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no,35188
services,single,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,no,61955
technician,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no,73054
technician,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no,71725
retired,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,37969
technician,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,38654
admin.,single,university.degree,no,no,no,telephone,may,mon,nonexistent,no,45804
blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,nonexistent,no,63614
admin.,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,no,51569
services,divorced,professional.course,no,yes,no,telephone,may,mon,nonexistent,no,58250
management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no,69049
admin.,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,no,70197
self-employed,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no,72341
admin.,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,no,55952
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,no,54575
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,59493
services,married,high.school,unknown,no,yes,telephone,may,mon,nonexistent,no,45018
management,married,university.degree,unknown,no,yes,telephone,may,mon,nonexistent,no,38772
retired,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,35679
technician,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no,44449
management,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,57859
services,single,basic.9y,no,no,no,telephone,may,mon,nonexistent,no,60310
technician,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no,47079
services,divorced,unknown,no,no,no,telephone,may,mon,nonexistent,no,37226
technician,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no,68233
technician,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no,64320
services,single,high.school,no,no,no,telephone,may,mon,nonexistent,no,63564
technician,divorced,professional.course,no,no,no,telephone,may,mon,nonexistent,no,55253
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,42158
services,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no,37739
technician,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,no,41293
services,married,unknown,no,no,no,telephone,may,mon,nonexistent,no,46691
services,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,no,35605
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no,66168
admin.,married,high.school,no,no,yes,telephone,may,mon,nonexistent,no,72779
blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,nonexistent,no,71753
technician,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,45792
admin.,divorced,basic.9y,no,no,no,telephone,may,mon,nonexistent,no,66802
admin.,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,48816
blue-collar,single,basic.6y,no,no,no,telephone,may,mon,nonexistent,no,70460
self-employed,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,65022
student,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no,66971
management,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no,63620
unemployed,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no,45268
housemaid,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,72652
admin.,single,high.school,no,no,no,telephone,may,mon,nonexistent,no,49409
housemaid,single,high.school,unknown,yes,yes,telephone,may,mon,nonexistent,no,48746
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,62470
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,36998
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no,45421
retired,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no,45253
blue-collar,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no,60069
technician,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,43133
admin.,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no,62968
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,41420
blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,66441
blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,nonexistent,no,69113
housemaid,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,yes,62619
admin.,single,high.school,no,yes,yes,telephone,may,mon,nonexistent,no,49429
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,38166
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,71716
admin.,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,no,70061
technician,divorced,professional.course,unknown,no,yes,telephone,may,mon,nonexistent,no,53317
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,50655
technician,single,professional.course,no,yes,no,telephone,may,mon,nonexistent,no,64554
self-employed,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no,34676
blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,nonexistent,no,73784
services,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,no,65802
unknown,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no,51930
services,single,high.school,unknown,no,no,telephone,may,mon,nonexistent,no,73480
retired,married,professional.course,unknown,no,no,telephone,may,mon,nonexistent,no,64897
unknown,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no,44784
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,54019
admin.,married,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,no,59961
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no,51282
housemaid,divorced,basic.4y,no,yes,yes,telephone,may,mon,nonexistent,no,49083
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,54897
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,67491
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,62972
admin.,single,university.degree,no,no,no,telephone,may,mon,nonexistent,no,63288
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,44971
blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,no,61746
management,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no,66677
admin.,single,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,70833
admin.,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,no,63530
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no,54266
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,43657
management,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,44910
admin.,single,basic.6y,no,yes,yes,telephone,may,mon,nonexistent,no,46889
technician,single,unknown,no,no,no,telephone,may,mon,nonexistent,no,61413
services,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,no,74835
technician,married,professional.course,no,yes,yes,telephone,may,mon,nonexistent,no,51673
housemaid,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no,52893
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,39762
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no,49284
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no,71367
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no,58061
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no,65498
management,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,63210
self-employed,single,university.degree,no,no,yes,telephone,may,mon,nonexistent,no,35141
entrepreneur,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,68960
technician,single,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,no,37928
blue-collar,single,high.school,no,yes,yes,telephone,may,mon,nonexistent,no,64191
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no,54077
management,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no,41710
management,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,no,48177
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no,53961
admin.,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no,63441
unknown,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no,51700
technician,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no,72096
services,divorced,professional.course,no,no,no,telephone,may,mon,nonexistent,no,41664
blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no,54322
entrepreneur,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,63184
blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,no,59489
technician,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no,60868
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no,51525
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no,61769
unemployed,single,university.degree,no,no,no,telephone,may,mon,nonexistent,no,44817
blue-collar,single,high.school,no,no,no,telephone,may,mon,nonexistent,no,60995
services,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,no,69863
entrepreneur,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no,45105
unemployed,divorced,high.school,unknown,no,no,telephone,may,tue,nonexistent,no,61551
management,married,university.degree,no,yes,no,telephone,may,tue,nonexistent,no,39329
technician,married,high.school,no,yes,no,telephone,may,tue,nonexistent,no,41614
admin.,married,university.degree,no,yes,no,telephone,may,tue,nonexistent,no,64011
technician,married,university.degree,no,no,no,telephone,may,tue,nonexistent,no,57228
self-employed,married,high.school,no,yes,no,telephone,may,tue,nonexistent,no,62072
admin.,divorced,basic.9y,no,no,no,telephone,may,tue,nonexistent,no,45479
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,nonexistent,no,70569
management,divorced,high.school,no,no,no,telephone,may,tue,nonexistent,no,48003
blue-collar,married,basic.9y,no,no,no,telephone,may,tue,nonexistent,no,57469
blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,nonexistent,no,38399
services,married,high.school,no,no,no,telephone,may,tue,nonexistent,no,56047
technician,married,basic.6y,no,yes,no,telephone,may,tue,nonexistent,no,57021
admin.,single,university.degree,no,no,no,telephone,may,tue,nonexistent,no,69326
admin.,married,university.degree,no,yes,yes,telephone,may,tue,nonexistent,no,65282
blue-collar,single,unknown,no,no,no,telephone,may,tue,nonexistent,no,66584
admin.,married,basic.9y,no,yes,no,telephone,may,tue,nonexistent,no,38184
student,single,unknown,unknown,no,no,telephone,may,tue,nonexistent,no,50010
management,married,basic.4y,unknown,yes,yes,telephone,may,tue,nonexistent,no,52865
management,married,basic.4y,unknown,unknown,unknown,telephone,may,tue,nonexistent,no,71613
self-employed,married,university.degree,no,no,no,telephone,may,tue,nonexistent,no,73943
housemaid,married,basic.6y,unknown,yes,yes,telephone,may,tue,nonexistent,no,50916
unknown,single,unknown,unknown,yes,yes,telephone,may,tue,nonexistent,yes,64879
services,married,high.school,no,yes,no,telephone,may,tue,nonexistent,yes,41501
retired,unknown,university.degree,unknown,no,no,telephone,may,tue,nonexistent,no,43724
management,married,high.school,unknown,no,no,telephone,may,tue,nonexistent,no,54990
admin.,married,university.degree,no,no,no,telephone,may,tue,nonexistent,no,37080
admin.,married,high.school,no,no,no,telephone,may,tue,nonexistent,no,50677
admin.,married,basic.9y,no,no,no,telephone,may,tue,nonexistent,no,54953
technician,married,professional.course,no,no,no,telephone,may,tue,nonexistent,no,41622
services,married,high.school,unknown,no,no,telephone,may,tue,nonexistent,no,72132
blue-collar,divorced,basic.4y,no,no,no,telephone,may,tue,nonexistent,no,36586
self-employed,married,university.degree,no,yes,yes,telephone,may,tue,nonexistent,no,42089
blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,nonexistent,no,50823
services,married,high.school,unknown,unknown,unknown,telephone,may,tue,nonexistent,no,67888
blue-collar,married,high.school,unknown,yes,no,telephone,may,tue,nonexistent,no,41156
unemployed,married,university.degree,unknown,yes,no,telephone,may,tue,nonexistent,no,43592
blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,nonexistent,no,70648
